Bidder,ClickRate
b5f02143-b63e-4062-bb82-0624909e55ac,0.008662734533916609
bcbad0a2-c502-44ba-9e8a-16ade955ece5,0.0010894564822660695
10fa3930-fa02-4c4a-8fd6-4bc5d831c171,  0.0
ae30807c-5316-42ee-a031-589fdb08e4ba,0.004363409693002961
52852966-92dd-43ac-8435-01b9e6021c7c,  0.0
a980abdb-d307-4aa8-99f1-03e268964e0b,0.0053462364863721724
9eb5a22f-1870-42b1-aaae-2faa5235ae34,0.01893939393939394
e06d4c65-a73d-42d6-b0b6-3bb7f77d87ec,  0.0
6524d297-40d9-4a96-90c0-0d5aa0c61da6,0.009268795056642637
ebd4f3cf-2d58-41d9-a848-e3db688ba491,0.01367390472023191
aca86453-e2cc-4039-99b2-b01dd0c16ad6,  0.0
67f72293-7ecc-4191-9d36-25a57550d5a6,0.0017887856897144823
a2860a55-f8a1-4d62-8edc-49fb88661adc,0.0036496350364963502
7484012b-fa40-438b-816a-1d778a5832a9,0.008771929824561403
54bff083-a345-436d-99f4-3e70f8969567,0.0015479876160990713
4eda5623-e3cc-4fa3-afaa-e303f6fe22e1,0.005442322057411162
2101c67c-d344-4da9-9069-e742b250ab50,  0.0
ffd2e9c7-e100-432d-9828-d5079c010390,0.022988505747126436
223f15fb-45b3-4a53-bdcf-c173a6e8c38a,  0.0
cea14acb-7635-41b6-a3fd-d05468e33042,  0.0
